ID;TRADEDATE;OPEN;CLOSE
MCFTR;2011-06-15;1856,92;1856,92
MCFTR;2011-06-16;1848,38;1848,38
MCFTR;2011-06-17;1820,42;1820,42
MCFTR;2011-06-20;1798,65;1798,65
MCFTR;2011-06-21;1808,87;1808,87
MCFTR;2011-06-22;1814,13;1814,13
MCFTR;2011-06-23;1778,49;1778,49
MCFTR;2011-06-24;1807,33;1807,33
MCFTR;2011-06-27;1799,55;1799,55
MCFTR;2011-06-28;1826,7;1826,7
MCFTR;2011-06-29;1836,1;1836,1
MCFTR;2011-06-30;1843,39;1843,39
MCFTR;2011-07-01;1878,99;1878,99
MCFTR;2011-07-04;1887,86;1887,86
MCFTR;2011-07-05;1894,66;1894,66
MCFTR;2011-07-06;1889,59;1889,59
MCFTR;2011-07-07;1928,5;1928,5
MCFTR;2011-07-08;1910,82;1910,82
MCFTR;2011-07-11;1885,23;1885,23
MCFTR;2011-07-12;1890,15;1890,15
MCFTR;2011-07-13;1899,31;1899,31
MCFTR;2011-07-14;1900,75;1900,75
MCFTR;2011-07-15;1899,77;1899,77
MCFTR;2011-07-18;1869,89;1869,89
MCFTR;2011-07-19;1883,74;1883,74
MCFTR;2011-07-20;1885,59;1885,59
MCFTR;2011-07-21;1916,36;1916,36
MCFTR;2011-07-22;1916,18;1916,18
MCFTR;2011-07-25;1914,07;1914,07
MCFTR;2011-07-26;1908,72;1908,72
MCFTR;2011-07-27;1891,18;1891,18
MCFTR;2011-07-28;1906,81;1906,81
MCFTR;2011-07-29;1889,96;1889,96
MCFTR;2011-08-01;1912,04;1912,04
MCFTR;2011-08-02;1898,9;1898,9
MCFTR;2011-08-03;1834,74;1834,74
MCFTR;2011-08-04;1796,86;1796,86
MCFTR;2011-08-05;1759,52;1759,52
MCFTR;2011-08-08;1662,83;1662,83
MCFTR;2011-08-09;1660,64;1660,64
MCFTR;2011-08-10;1588,23;1588,23
MCFTR;2011-08-11;1596,55;1596,55
MCFTR;2011-08-12;1631,67;1631,67
MCFTR;2011-08-15;1676,19;1676,19
MCFTR;2011-08-16;1643,45;1643,45
MCFTR;2011-08-17;1674,53;1674,53
MCFTR;2011-08-18;1611,99;1611,99
MCFTR;2011-08-19;1596,36;1596,36
MCFTR;2011-08-22;1611,21;1611,21
MCFTR;2011-08-23;1611,5;1611,5
MCFTR;2011-08-24;1631,08;1631,08
MCFTR;2011-08-25;1612,62;1612,62
MCFTR;2011-08-26;1630,87;1630,87
MCFTR;2011-08-29;1694,99;1694,99
MCFTR;2011-08-30;1696,94;1696,94
MCFTR;2011-08-31;1739,93;1739,93
MCFTR;2011-09-01;1746,15;1746,15
MCFTR;2011-09-02;1705,99;1705,99
MCFTR;2011-09-05;1680,04;1680,04
MCFTR;2011-09-06;1687,77;1687,77
MCFTR;2011-09-07;1740,46;1740,46
MCFTR;2011-09-08;1751,65;1751,65
MCFTR;2011-09-09;1708,61;1708,61
MCFTR;2011-09-12;1680,44;1680,44
MCFTR;2011-09-13;1686,04;1686,04
MCFTR;2011-09-14;1693,64;1693,64
MCFTR;2011-09-15;1716,56;1716,56
MCFTR;2011-09-16;1701,05;1701,05
MCFTR;2011-09-19;1680,44;1680,44
MCFTR;2011-09-20;1710,56;1710,56
MCFTR;2011-09-21;1696,27;1696,27
MCFTR;2011-09-22;1563,67;1563,67
MCFTR;2011-09-23;1493,62;1493,62
MCFTR;2011-09-26;1515,76;1515,76
MCFTR;2011-09-27;1553,53;1553,53
MCFTR;2011-09-28;1550,66;1550,66
MCFTR;2011-09-29;1584,24;1584,24
MCFTR;2011-09-30;1537,91;1537,91
MCFTR;2011-10-03;1513,29;1513,29
MCFTR;2011-10-04;1426,75;1426,75
MCFTR;2011-10-05;1424,39;1424,39
MCFTR;2011-10-06;1483,61;1483,61
MCFTR;2011-10-07;1520,89;1520,89
MCFTR;2011-10-10;1554,03;1554,03
MCFTR;2011-10-11;1535,12;1535,12
MCFTR;2011-10-12;1571,64;1571,64
MCFTR;2011-10-13;1562,93;1562,93
MCFTR;2011-10-14;1611,49;1611,49
MCFTR;2011-10-17;1579;1579
MCFTR;2011-10-18;1603,97;1603,97
MCFTR;2011-10-19;1599,05;1599,05
MCFTR;2011-10-20;1597,19;1597,19
MCFTR;2011-10-21;1628,89;1628,89
MCFTR;2011-10-24;1669,19;1669,19
MCFTR;2011-10-25;1645,96;1645,96
MCFTR;2011-10-26;1688,31;1688,31
MCFTR;2011-10-27;1717,27;1717,27
MCFTR;2011-10-28;1718,65;1718,65
MCFTR;2011-10-31;1687,16;1687,16
MCFTR;2011-11-01;1639,53;1639,53
MCFTR;2011-11-02;1676,19;1676,19
MCFTR;2011-11-03;1690,06;1690,06
MCFTR;2011-11-07;1712,39;1712,39
MCFTR;2011-11-08;1712,24;1712,24
MCFTR;2011-11-09;1655,86;1655,86
MCFTR;2011-11-10;1677;1677
MCFTR;2011-11-11;1671,81;1671,81
MCFTR;2011-11-14;1671,15;1671,15
MCFTR;2011-11-15;1675,05;1675,05
MCFTR;2011-11-16;1669,87;1669,87
MCFTR;2011-11-17;1660,95;1660,95
MCFTR;2011-11-18;1644,33;1644,33
MCFTR;2011-11-21;1565,53;1565,53
MCFTR;2011-11-22;1578,3;1578,3
MCFTR;2011-11-23;1580,95;1580,95
MCFTR;2011-11-24;1567,99;1567,99
MCFTR;2011-11-25;1588,36;1588,36
MCFTR;2011-11-28;1650,71;1650,71
MCFTR;2011-11-29;1638;1638
MCFTR;2011-11-30;1689,03;1689,03
MCFTR;2011-12-01;1695,39;1695,39
MCFTR;2011-12-02;1695,96;1695,96
MCFTR;2011-12-05;1709,61;1709,61
MCFTR;2011-12-06;1642,04;1642,04
MCFTR;2011-12-07;1631,33;1631,33
MCFTR;2011-12-08;1640,3;1640,3
MCFTR;2011-12-09;1572,64;1572,64
MCFTR;2011-12-12;1520,47;1520,47
MCFTR;2011-12-13;1552,68;1552,68
MCFTR;2011-12-14;1546,6;1546,6
MCFTR;2011-12-15;1570,48;1570,48
MCFTR;2011-12-16;1558,99;1558,99
MCFTR;2011-12-19;1558,39;1558,39
MCFTR;2011-12-20;1588,77;1588,77
MCFTR;2011-12-21;1560,54;1560,54
MCFTR;2011-12-22;1561,52;1561,52
MCFTR;2011-12-23;1550,76;1550,76
MCFTR;2011-12-26;1566,5;1566,5
MCFTR;2011-12-27;1562,06;1562,06
MCFTR;2011-12-28;1558,62;1558,62
MCFTR;2011-12-29;1563,1;1563,1
MCFTR;2011-12-30;1580,19;1580,19
MCFTR;2012-01-03;1628,12;1628,12
MCFTR;2012-01-04;1631,31;1631,31
MCFTR;2012-01-05;1617,02;1617,02
MCFTR;2012-01-06;1623,43;1623,43
MCFTR;2012-01-09;1632,18;1632,18
MCFTR;2012-01-10;1664,32;1664,32
MCFTR;2012-01-11;1651,46;1651,46
MCFTR;2012-01-12;1650,4;1650,4
MCFTR;2012-01-13;1649,16;1649,16
MCFTR;2012-01-16;1650,27;1650,27
MCFTR;2012-01-17;1674,98;1674,98
MCFTR;2012-01-18;1683,27;1683,27
MCFTR;2012-01-19;1694,54;1694,54
MCFTR;2012-01-20;1680,4;1680,4
MCFTR;2012-01-23;1689,55;1689,55
MCFTR;2012-01-24;1677,64;1677,64
MCFTR;2012-01-25;1689,01;1689,01
MCFTR;2012-01-26;1706,96;1706,96
MCFTR;2012-01-27;1699,43;1699,43
MCFTR;2012-01-30;1686,2;1686,2
MCFTR;2012-01-31;1706,18;1706,18
MCFTR;2012-02-01;1734,72;1734,72
MCFTR;2012-02-02;1738,14;1738,14
MCFTR;2012-02-03;1763,42;1763,42
MCFTR;2012-02-06;1761,22;1761,22
MCFTR;2012-02-07;1746,14;1746,14
MCFTR;2012-02-08;1752,47;1752,47
MCFTR;2012-02-09;1739,1;1739,1
MCFTR;2012-02-10;1720,52;1720,52
MCFTR;2012-02-13;1758,92;1758,92
MCFTR;2012-02-14;1762,21;1762,21
MCFTR;2012-02-15;1781,67;1781,67
MCFTR;2012-02-16;1771,5;1771,5
MCFTR;2012-02-17;1769,44;1769,44
MCFTR;2012-02-20;1781,46;1781,46
MCFTR;2012-02-21;1758,66;1758,66
MCFTR;2012-02-22;1735,18;1735,18
MCFTR;2012-02-24;1798,79;1798,79
MCFTR;2012-02-27;1796,65;1796,65
MCFTR;2012-02-28;1775,72;1775,72
MCFTR;2012-02-29;1802,49;1802,49
MCFTR;2012-03-01;1800,36;1800,36
MCFTR;2012-03-02;1814,24;1814,24
MCFTR;2012-03-05;1834,16;1834,16
MCFTR;2012-03-06;1762,46;1762,46
MCFTR;2012-03-07;1774,47;1774,47
MCFTR;2012-03-11;1812,26;1812,26
MCFTR;2012-03-12;1809,93;1809,93
MCFTR;2012-03-13;1818,52;1818,52
MCFTR;2012-03-14;1840,26;1840,26
MCFTR;2012-03-15;1835,16;1835,16
MCFTR;2012-03-16;1826,54;1826,54
MCFTR;2012-03-19;1789,79;1789,79
MCFTR;2012-03-20;1758,47;1758,47
MCFTR;2012-03-21;1750,72;1750,72
MCFTR;2012-03-22;1725,59;1725,59
MCFTR;2012-03-23;1738,52;1738,52
MCFTR;2012-03-26;1765,77;1765,77
MCFTR;2012-03-27;1753,54;1753,54
MCFTR;2012-03-28;1715,28;1715,28
MCFTR;2012-03-29;1686,5;1686,5
MCFTR;2012-03-30;1711,86;1711,86
MCFTR;2012-04-02;1717,01;1717,01
MCFTR;2012-04-03;1748,77;1748,77
MCFTR;2012-04-04;1706,83;1706,83
MCFTR;2012-04-05;1720,63;1720,63
MCFTR;2012-04-06;1689,13;1689,13
MCFTR;2012-04-09;1704,13;1704,13
MCFTR;2012-04-10;1690,12;1690,12
MCFTR;2012-04-11;1698,81;1698,81
MCFTR;2012-04-12;1694,14;1694,14
MCFTR;2012-04-13;1695,29;1695,29
